design_id,call_deltas,call_spread_widths,dte,put_deltas,put_spread_widths,strategy_type,take_profit_pct
1,,,0,-0.055,,short_put,0.75
2,,,0,-0.055,,short_put,0.875
3,,,0,-0.055,,short_put,1.0
4,,,1,-0.055,,short_put,0.75
5,,,1,-0.055,,short_put,0.875
6,,,1,-0.055,,short_put,1.0
7,,,2,-0.055,,short_put,0.75
8,,,2,-0.055,,short_put,0.875
9,,,2,-0.055,,short_put,1.0
10,,,3,-0.055,,short_put,0.75
11,,,3,-0.055,,short_put,0.875
12,,,3,-0.055,,short_put,1.0
13,,,4,-0.055,,short_put,0.75
14,,,4,-0.055,,short_put,0.875
15,,,4,-0.055,,short_put,1.0
16,,,0,-0.065,,short_put,0.75
17,,,0,-0.065,,short_put,0.875
18,,,0,-0.065,,short_put,1.0
19,,,1,-0.065,,short_put,0.75
20,,,1,-0.065,,short_put,0.875
21,,,1,-0.065,,short_put,1.0
22,,,2,-0.065,,short_put,0.75
23,,,2,-0.065,,short_put,0.875
24,,,2,-0.065,,short_put,1.0
25,,,3,-0.065,,short_put,0.75
26,,,3,-0.065,,short_put,0.875
27,,,3,-0.065,,short_put,1.0
28,,,4,-0.065,,short_put,0.75
29,,,4,-0.065,,short_put,0.875
30,,,4,-0.065,,short_put,1.0
31,,,0,-0.075,,short_put,0.75
32,,,0,-0.075,,short_put,0.875
33,,,0,-0.075,,short_put,1.0
34,,,1,-0.075,,short_put,0.75
35,,,1,-0.075,,short_put,0.875
36,,,1,-0.075,,short_put,1.0
37,,,2,-0.075,,short_put,0.75
38,,,2,-0.075,,short_put,0.875
39,,,2,-0.075,,short_put,1.0
40,,,3,-0.075,,short_put,0.75
41,,,3,-0.075,,short_put,0.875
42,,,3,-0.075,,short_put,1.0
43,,,4,-0.075,,short_put,0.75
44,,,4,-0.075,,short_put,0.875
45,,,4,-0.075,,short_put,1.0
46,,,0,-0.055,50,short_put_spread,0.75
47,,,0,-0.055,50,short_put_spread,0.875
48,,,0,-0.055,50,short_put_spread,1.0
49,,,1,-0.055,50,short_put_spread,0.75
50,,,1,-0.055,50,short_put_spread,0.875
51,,,1,-0.055,50,short_put_spread,1.0
52,,,2,-0.055,50,short_put_spread,0.75
53,,,2,-0.055,50,short_put_spread,0.875
54,,,2,-0.055,50,short_put_spread,1.0
55,,,3,-0.055,50,short_put_spread,0.75
56,,,3,-0.055,50,short_put_spread,0.875
57,,,3,-0.055,50,short_put_spread,1.0
58,,,4,-0.055,50,short_put_spread,0.75
59,,,4,-0.055,50,short_put_spread,0.875
60,,,4,-0.055,50,short_put_spread,1.0
61,,,0,-0.065,50,short_put_spread,0.75
62,,,0,-0.065,50,short_put_spread,0.875
63,,,0,-0.065,50,short_put_spread,1.0
